Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate 
zombieGuppyAlma,entityclasses,Entity,,,Alma,,
zombieGuppyBaldMan,entityclasses,Entity,,,Bald Man,,
zombieGuppyBeatCop,entityclasses,Entity,,,Beat Cop,,
zombieGuppyBelle,entityclasses,Entity,,,Belle,,
zombieGuppyBilly,entityclasses,Entity,,,Billy,,
zombieGuppyBiomechanicalWight,entityclasses,Entity,,,Biomechanical Wight,,
zombieGuppyBob,entityclasses,Entity,,,Bob,,
zombieGuppyCarmela,entityclasses,Entity,,,Carmela,,
zombieGuppyCheerleader,entityclasses,Entity,,,Cheerleader,,
zombieGuppyClot,entityclasses,Entity,,,Clot,,
zombieGuppyGermanCosplay,entityclasses,Entity,,,German Cosplayer,,
zombieGuppyHungryGeorge,entityclasses,Entity,,,Hungry George,,
zombieGuppyHungryJeff,entityclasses,Entity,,,Hungry Jeff,,
zombieGuppyHungryScott,entityclasses,Entity,,,Hungry Scott,,
zombieGuppyKennethClown,entityclasses,Entity,,,Kenneth the Clown,,
zombieGuppyLucy,entityclasses,Entity,,,Lucy,,
zombieGuppyNurse,entityclasses,Entity,,,Nurse,,
zombieGuppyOldManZombie,entityclasses,Entity,,,Old Man,,
zombieGuppyPete,entityclasses,Entity,,,Pete,,
zombieGuppyPoliceRalph,entityclasses,Entity,,,Police Ralph,,
zombieGuppyRoland,entityclasses,Entity,,,Roland,,
zombieGuppySecurityGuard,entityclasses,Entity,,,Security Guard,,
zombieGuppySeth,entityclasses,Entity,,,Seth,,
zombieGuppyStripper,entityclasses,Entity,,,Stripper,,
zombieGuppyThorton,entityclasses,Entity,,,Thorton,,
